,date,device,failure,metric1,metric2,metric3,metric4,metric5,metric6,metric7,metric9,use_days
0,2015-01-01,S1F023H2,0,141503600,0,0,1,19,494462,16,3,1
1,2015-01-01,S1F03YZM,0,55587136,0,0,0,7,199132,0,0,1
2,2015-01-01,S1F09DZQ,0,12568128,136,0,2,6,380112,0,2,1
3,2015-01-01,S1F0CTDN,0,50147888,528,0,4,9,381198,32,3,1
4,2015-01-01,S1F0DSTY,0,8471680,0,0,0,11,436682,0,0,1
5,2015-01-01,S1F0F4EB,0,239412320,0,0,0,9,200197,0,2,1
6,2015-01-01,S1F0GG8X,0,38395328,1232,0,0,11,187467,0,2,1
7,2015-01-01,S1F0GJW3,0,118683272,0,0,0,8,201152,0,0,1
8,2015-01-01,S1F0GKFX,0,107148272,0,0,0,65,223170,0,0,1
9,2015-01-01,S1F0GKL6,0,234778096,0,0,0,90,221425,0,0,1
10,2015-01-01,S1F0GPFZ,0,53071760,0,0,0,8,195262,0,0,1
11,2015-01-01,S1F0GSD9,0,2373368,0,0,0,11,197582,0,0,1
12,2015-01-01,S1F0GSHB,0,156384480,0,0,0,91,223965,0,0,1
13,2015-01-01,S1F0J5JH,0,58802968,0,0,0,7,200198,0,0,1
14,2015-01-01,S1F0JD7P,0,17000896,0,0,0,58,224281,0,0,1
15,2015-01-01,S1F0JGJV,0,95214880,0,0,0,7,195474,0,0,1
16,2015-01-01,S1F0L0DW,0,211717136,0,0,0,7,281947,0,0,1
17,2015-01-01,S1F0LCTV,0,215846224,0,0,1,11,447025,0,0,1
18,2015-01-01,S1F0LCVC,0,180474968,0,0,0,8,205331,0,0,1
19,2015-01-01,S1F0LD15,0,142117744,0,0,0,6,281773,0,0,1
20,2015-01-01,S1F0LD2C,0,168591160,0,0,0,12,436503,0,0,1
21,2015-01-01,S1F0P3G2,0,48342824,0,0,0,8,241097,0,1,1
22,2015-01-01,S1F0PJJW,0,202194456,0,0,0,6,239294,0,0,1
23,2015-01-01,S1F0QF3R,0,87216432,0,0,0,12,200440,0,1,1
24,2015-01-01,S1F0QY11,0,10684704,0,0,9,7,207615,16,0,1
25,2015-01-01,S1F0RR35,0,194760840,136,0,0,12,262938,0,0,1
26,2015-01-01,S1F0RRB1,0,5230888,2288,0,37,8,39267,24,1,1
27,2015-01-01,S1F0RSZP,0,83001592,0,0,0,13,244022,0,0,1
28,2015-01-01,S1F0S2WJ,0,91505920,1184,0,0,14,243951,8,0,1
29,2015-01-01,S1F0S4CA,0,237105944,712,0,69,12,187913,0,0,1
30,2015-01-01,S1F0S4EG,0,23890952,0,0,0,6,236710,0,0,1
31,2015-01-01,S1F0S4T6,0,71165536,0,0,0,9,243531,0,0,1
32,2015-01-01,S1F0S57T,0,2412256,0,0,0,7,244766,0,0,1
33,2015-01-01,S1F0S65X,0,96429872,0,0,0,8,243166,0,0,1
34,2015-01-01,S1F0T2LA,0,160992856,424,0,1,10,247498,0,0,1
35,2015-01-01,S1F0TQCV,0,162065352,0,0,0,8,293733,0,1,1
36,2015-01-01,S1F10E6M,0,210550904,1080,0,0,7,202433,0,0,1
37,2015-01-01,S1F11MB0,0,173113976,0,0,0,5,198441,0,0,1
38,2015-01-01,S1F13589,0,145311040,0,0,0,16,309879,0,0,1
39,2015-01-01,S1F135TN,0,154805608,0,0,0,14,307061,0,0,1
40,2015-01-01,S1F136J0,0,229928576,0,0,25,16,312312,0,0,1
41,2015-01-01,S1F13H80,0,85019344,0,0,0,9,199199,0,3,1
42,2015-01-01,W1F03D4L,0,50157120,0,0,0,14,321216,0,5,1
43,2015-01-01,W1F03DP4,0,183879552,0,8,1,14,316310,0,1080,1
44,2015-01-01,W1F08EDA,0,91475480,0,2,0,25,554250,0,0,1
45,2015-01-01,W1F0F6BN,0,113361680,0,0,0,12,225194,0,0,1
46,2015-01-01,W1F0FKWW,0,86155208,0,0,0,13,190613,0,0,1
47,2015-01-01,W1F0FW0S,0,196878448,0,0,17,64,185793,0,2,1
48,2015-01-01,W1F0GCAZ,0,169297248,0,0,0,9,198690,0,0,1
49,2015-01-01,W1F0KCP2,0,88242808,0,0,0,6,280860,0,0,1
50,2015-01-01,W1F0M35B,0,1765736,0,0,0,7,242030,0,0,1
51,2015-01-01,W1F0M4BZ,0,73768200,0,0,0,8,294455,0,7,1
52,2015-01-01,W1F0NZZZ,0,27479328,0,0,0,33,249181,0,0,1
53,2015-01-01,W1F0P114,0,59684104,0,0,6,35,248464,0,0,1
54,2015-01-01,W1F0PAXH,0,41481448,0,0,0,14,302283,0,0,1
55,2015-01-01,W1F0PNA5,0,185403491,64776,0,26,30,224801,8,0,1
56,2015-01-01,W1F0Q8FH,0,208576224,0,0,2,40,218859,0,10,1
57,2015-01-01,W1F0SGHR,0,162973840,0,0,0,35,250438,0,0,1
58,2015-01-01,W1F0T034,0,78748536,944,0,0,10,286540,0,0,1
59,2015-01-01,W1F0T074,0,38676456,600,0,10,33,241617,0,0,1
60,2015-01-01,W1F0T0B1,0,188705712,0,0,0,7,201053,0,0,1
61,2015-01-01,W1F0TA59,0,20594272,112,0,0,36,246392,0,0,1
62,2015-01-01,W1F0VDH2,0,202417864,0,0,0,35,246716,0,0,1
63,2015-01-01,W1F0WBTM,0,108442392,0,2,0,12,237491,0,41,1
64,2015-01-01,W1F0X4FC,0,37792288,0,0,0,7,219303,0,0,1
65,2015-01-01,W1F0X5GW,0,129164320,0,1,0,8,243940,0,7,1
66,2015-01-01,W1F0Z1W9,0,222379808,0,0,0,12,215998,0,0,1
67,2015-01-01,W1F0Z3KR,0,154806368,0,0,1,7,119375,0,0,1
68,2015-01-01,W1F0Z4EA,0,158082880,0,0,0,6,246340,0,0,1
69,2015-01-01,W1F11ZG9,0,193036136,0,9,46,2,321220,0,1,1
70,2015-01-01,W1F1230J,0,160609528,0,0,0,14,307719,0,0,1
71,2015-01-01,W1F13SRV,0,144915568,1960,0,0,6,24475,0,1,1
72,2015-01-01,W1F14XGD,0,230120824,256,0,0,12,201025,0,0,1
73,2015-01-01,W1F15S4D,0,92530096,736,0,74,6,96545,16,0,1
74,2015-01-01,W1F19BPT,0,50941304,16,0,0,23,45,0,0,1
75,2015-01-01,W1F1BFP5,0,141049448,16,0,12,8,139874,0,0,1
76,2015-01-01,W1F1BS0H,0,78866488,0,0,0,14,267374,0,0,1
77,2015-01-01,W1F1BZTM,0,139929672,0,0,0,13,42,0,5,1
78,2015-01-01,W1F1C9TE,0,209936896,0,0,2,10,7489,0,0,1
79,2015-01-01,W1F1C9WG,0,86203992,0,0,0,13,42,0,0,1
80,2015-01-01,W1F1CB5E,0,164185360,40,0,0,9,25,0,0,1
81,2015-01-01,W1F1CDDP,0,2165592,600,0,2,8,190301,8,0,1
82,2015-01-01,W1F1CJ1K,0,100157320,0,0,0,9,198295,0,0,1
83,2015-01-01,W1F1DQN8,0,86045688,0,0,0,10,27,0,0,1
84,2015-01-01,Z1F04GCH,0,155095880,0,0,0,13,286053,0,0,1
85,2015-01-01,Z1F0B4XZ,0,209608016,0,70,0,10,259834,0,1165,1
86,2015-01-01,Z1F0FSBY,0,193437680,1936,0,0,5,182277,0,0,1
87,2015-01-01,Z1F0K451,0,97013528,0,0,0,7,269283,0,0,1
88,2015-01-01,Z1F0LSNZ,0,127712264,0,318,0,6,283810,0,18,1
89,2015-01-01,Z1F0LVGY,0,121353416,0,0,0,7,293719,0,0,1
90,2015-01-01,Z1F0LVPW,0,209199760,0,1,0,7,279871,0,52,1
91,2015-01-01,Z1F0MCCA,0,57423632,0,0,0,12,307626,0,0,1
92,2015-01-01,Z1F0MRPJ,0,226282984,0,0,0,8,199130,0,0,1
93,2015-01-01,Z1F0NVZA,0,89934064,0,0,0,10,185310,0,0,1
94,2015-01-01,Z1F0P16F,0,65714640,728,0,0,7,265323,0,2,1
95,2015-01-01,Z1F0P5D9,0,146889912,0,0,0,29,245471,0,0,1
96,2015-01-01,Z1F0QH0C,0,129489160,0,1,0,7,199632,0,0,1
97,2015-01-01,Z1F130LH,0,98183304,56,0,0,24,235992,0,0,1
98,2015-01-01,Z1F148T1,0,158452880,0,0,0,8,182606,0,0,1
99,2015-01-01,Z1F14BGY,0,46639464,0,0,0,8,190051,0,0,1
100,2015-01-01,Z1F1653X,0,154007624,0,0,0,8,172665,0,0,1
101,2015-01-01,Z1F1901P,0,14345648,0,0,0,8,222177,0,0,1
102,2015-01-01,Z1F1AG5N,0,193717560,0,0,4,6,19,0,0,1
103,2015-01-01,Z1F1FCH5,0,63559568,0,0,6,7,214696,24,0,1
104,2015-01-01,Z1F1RJFA,0,243890056,1208,1,0,4,312579,0,0,1
105,2015-01-01,Z1F1VQFY,0,16736808,0,0,0,6,224020,0,0,1
106,2015-01-02,S1F023H2,0,161679800,0,0,1,19,495730,16,3,2
107,2015-01-02,S1F03YZM,0,75670840,0,0,0,7,200488,0,0,2
108,2015-01-02,S1F09DZQ,0,34614880,136,0,2,6,381298,0,2,2
109,2015-01-02,S1F0CTDN,0,72104024,528,0,4,9,382459,32,3,2
110,2015-01-02,S1F0DSTY,0,28803248,0,0,0,11,438000,0,0,2
111,2015-01-02,S1F0F4EB,0,14323816,0,0,0,9,201527,0,2,2
